Representative,Party,District,Score,Year,Lifetime Score
"Nadler, Jerrold L.",D,NY-08,0.95,2007,0.97
"Weiner, Anthony David",D,NY-09,0.9,2007,0.93
"Towns, Edolphus",D,NY-10,0.9,2007,0.81
"Clarke, Yvette D.",D,NY-11,0.8,2007,0.95
"Velazquez, Nydia",D,NY-12,0.85,2007,0.94
"Fossella, Vito J.",R,NY-13,0.3,2007,0.23
"Maloney, Carolyn B.",D,NY-14,1.0,2007,0.96
"Rangel, Charles",D,NY-15,0.9,2007,0.83
"Serrano, Jose",D,NY-16,0.85,2007,0.93
"Engel, Eliot L.",D,NY-17,0.85,2007,0.93
"Lowey, Nita M.",D,NY-18,0.95,2007,0.94
"Hall, John J.",D,NY-19,0.95,2007,0.98
"Gillibrand, Kirsten E.",D,NY-20,0.95,2007,0.95
"McNulty, Michael R.",D,NY-21,0.95,2007,0.82
"Hinchey, Maurice D.",D,NY-22,0.95,2007,0.93
"McHugh, John M.",R,NY-23,0.45,2007,0.26
"Arcuri, Michael A.",D,NY-24,0.9,2007,0.91
"Walsh, James T.",R,NY-25,0.45,2007,0.39
"Reynolds, Thomas M.",R,NY-26,0.05,2007,0.12
"Higgins, Brian M.",D,NY-27,0.95,2007,0.95
"Slaughter, Louise",D,NY-28,0.95,2007,0.91
"Kuhl, John R.",R,NY-29,0.3,2007,0.25
"Dole, Elizabeth H.",R,NC,0.07,2007,0.12
"Burr, Richard M.",R,NC,0.07,2007,0.09
"Butterfield, G.K.",D,NC-01,0.7,2007,0.9
"Etheridge, Bob R.",D,NC-02,0.85,2007,0.79
"Jones, Jr., Walter",R,NC-03,0.4,2007,0.22
"Price, David",D,NC-04,0.95,2007,0.92
"Foxx, Virginia",R,NC-05,0.1,2007,0.04
"Coble, Howard",R,NC-06,0.05,2007,0.11
"McIntyre, Mike",D,NC-07,0.75,2007,0.5
"Hayes, Robin C.",R,NC-08,0.15,2007,0.11
"Myrick, Sue W.",R,NC-09,0.1,2007,0.06
"McHenry, Patrick T.",R,NC-10,0.0,2007,0.05
"Shuler, Heath",D,NC-11,0.75,2007,0.67
"Watt, Mel",D,NC-12,0.95,2007,0.92
"Miller, Brad",D,NC-13,0.9,2007,0.95
"Dorgan, Byron L.",D,ND,0.87,2007,0.64
"Conrad, Kent",D,ND,0.73,2007,0.59
"Pomeroy, Earl",D,ND-AL,0.85,2007,0.6
"Voinovich, George V.",R,OH,0.2,2007,0.15
"Brown, Sherrod C.",D,OH,0.87,2007,0.94
"Chabot, Steve",R,OH-01,0.2,2007,0.11
"Schmidt, Jean",R,OH-02,0.1,2007,0.1
"Turner, Michael R.",R,OH-03,0.1,2007,0.09
"Jordan, Jim",R,OH-04,0.05,2007,0.03
"Gillmor, Paul E.",R,OH-05,0.41,2007,0.22
"Wilson, Charles A.",D,OH-06,0.6,2007,0.72
"Hobson, David Lee",R,OH-07,0.2,2007,0.16
"Boehner, John",R,OH-08,0.0,2007,0.02
"Kaptur, Marcy",D,OH-09,0.8,2007,0.83
"Kucinich, Dennis J.",D,OH-10,0.8,2007,0.91
"Jones, Stephanie Tubbs",D,OH-11,0.75,2007,0.81
"Tiberi, Pat",R,OH-12,0.15,2007,0.08
"Sutton, Betty",D,OH-13,0.85,2007,0.91
"LaTourette, Steve",R,OH-14,0.4,2007,0.25
"Pryce, Deborah D.",R,OH-15,0.25,2007,0.18
"Regula, Ralph",R,OH-16,0.2,2007,0.3
"Ryan, Tim",D,OH-17,0.8,2007,0.9
"Space, Zachary T.",D,OH-18,0.6,2007,0.72
"Inhofe, James M.",R,OK,0.0,2007,0.05
"Coburn, Tom",R,OK,0.07,2007,0.09
"Sullivan, John A.",R,OK-01,0.05,2007,0.06
"Boren, Dan",D,OK-02,0.15,2007,0.27
"Lucas, Frank D.",R,OK-03,0.0,2007,0.05
"Cole, Tom",R,OK-04,0.0,2007,0.07
"Fallin, Mary",R,OK-05,0.0,2007,0.04
"Smith, Gordon Harold",R,OR,0.73,2007,0.37
"Wyden, Ron",D,OR,0.87,2007,0.91
"Wu, David",D,OR-01,1.0,2007,0.95
"Walden, Greg P.",R,OR-02,0.2,2007,0.1
"Blumenauer, Earl",D,OR-03,1.0,2007,0.96
"DeFazio, Peter A.",D,OR-04,0.95,2007,0.92
"Hooley, Darlene",D,OR-05,0.85,2007,0.91
"Specter, Arlen",D,PA,0.6,2007,0.46
"Casey, Bob",D,PA,1.0,2007,0.93
"Brady, Robert A.",D,PA-01,0.85,2007,0.86
"Fattah, Chaka",D,PA-02,0.9,2007,0.87
"English, Philip",R,PA-03,0.35,2007,0.28
"Altmire, Jason",D,PA-04,0.8,2007,0.54
"Peterson, John E.",R,PA-05,0.1,2007,0.03
"Gerlach, Jim",R,PA-06,0.7,2007,0.36
"Sestak, Joe",D,PA-07,1.0,2007,0.96
"Murphy, Patrick J.",D,PA-08,0.9,2007,0.88
"Shuster, Bill",R,PA-09,0.05,2007,0.05
"Carney, Christopher P.",D,PA-10,0.8,2007,0.79
"Kanjorski, Paul E.",D,PA-11,0.7,2007,0.72
"Murtha, John P.",D,PA-12,0.75,2007,0.46
"Schwartz, Allyson Y.",D,PA-13,0.95,2007,0.9
"Doyle, Mike",D,PA-14,0.8,2007,0.79
"Dent, Charlie",R,PA-15,0.55,2007,0.17
"Pitts, Joe",R,PA-16,0.1,2007,0.06
"Holden, Tim",D,PA-17,0.7,2007,0.55
"Murphy, Tim",R,PA-18,0.2,2007,0.08
"Platts, Todd",R,PA-19,0.55,2007,0.32
"Whitehouse, Sheldon",D,RI,0.93,2007,0.97
"Reed, Jack",D,RI,0.93,2007,0.97
"Kennedy, Patrick Joseph",D,RI-01,0.9,2007,0.89
"Langevin, Jim",D,RI-02,0.95,2007,0.96
"DeMint, Jim W.",R,SC,0.07,2007,0.08
"Graham, Lindsey O.",R,SC,0.07,2007,0.13
"Brown, Henry E.",R,SC-01,0.05,2007,0.06
"Wilson, Joe",R,SC-02,0.0,2007,0.03
"Barrett, James Gresham",R,SC-03,0.05,2007,0.05
"Inglis, Bob",R,SC-04,0.25,2007,0.26
"Spratt, John McKee",D,SC-05,0.85,2007,0.79
"Clyburn, James E.",D,SC-06,0.8,2007,0.85
"Johnson, Tim P.",D,SD,0.33,2007,0.73
"Thune, John R.",R,SD,0.33,2007,0.11
"Herseth Sandlin, Stephanie",D,SD-AL,0.7,2007,0.64
"Corker, Bob",R,TN,0.27,2007,0.1
"Alexander, Lamar",R,TN,0.33,2007,0.21
"Davis, David",R,TN-01,0.1,2007,0.06
"Duncan, Jr., John J.",R,TN-02,0.1,2007,0.09
"Wamp, Zach",R,TN-03,0.1,2007,0.11
"Davis, Lincoln",D,TN-04,0.75,2007,0.59
"Cooper, Jim",D,TN-05,0.8,2007,0.83
"Gordon, Barton Jennings",D,TN-06,0.8,2007,0.67
"Blackburn, Marsha",R,TN-07,0.05,2007,0.03
"Tanner, John S.",D,TN-08,0.7,2007,0.44
"Cohen, Steve",D,TN-09,0.95,2007,0.97
"Hutchison, Kay Bailey",R,TX,0.07,2007,0.06
"Cornyn, John",R,TX,0.0,2007,0.05
"Gohmert, Louie",R,TX-01,0.0,2007,0.04
"Poe, Ted",R,TX-02,0.05,2007,0.03
"Johnson, Sam",R,TX-03,0.05,2007,0.03
"Hall, Ralph",R,TX-04,0.0,2007,0.11
"Hensarling, Jeb",R,TX-05,0.15,2007,0.04
"Barton, Joe",R,TX-06,0.0,2007,0.06
"Culberson, John A.",R,TX-07,0.0,2007,0.04
"Brady, Kevin P.",R,TX-08,0.0,2007,0.03
"Green, Al",D,TX-09,0.85,2007,0.86
"McCaul, Michael T.",R,TX-10,0.1,2007,0.06
"Conaway, K. Michael",R,TX-11,0.0,2007,0.02
"Granger, Kay",R,TX-12,0.0,2007,0.05
"Thornberry, Mac",R,TX-13,0.0,2007,0.02
"Paul, Ron",R,TX-14,0.15,2007,0.23
"Hinojosa, Ruben",D,TX-15,0.55,2007,0.68
"Reyes, Silvestre",D,TX-16,0.7,2007,0.67
"Edwards, Chet",D,TX-17,0.6,2007,0.43
"Jackson Lee, Sheila",D,TX-18,0.9,2007,0.82
"Neugebauer, Randy",R,TX-19,0.0,2007,0.02
"Gonzalez, Charlie",D,TX-20,0.85,2007,0.8
"Smith, Lamar S.",R,TX-21,0.0,2007,0.06
"Lampson, Nicholas V.",D,TX-22,0.5,2007,0.62
"Rodriguez, Ciro D.",D,TX-23,0.8,2007,0.71
"Marchant, Kenny E.",R,TX-24,0.05,2007,0.03
"Doggett, Lloyd A.",D,TX-25,0.9,2007,0.97
"Burgess, Michael C.",R,TX-26,0.0,2007,0.03
"Ortiz, Solomon P.",D,TX-27,0.35,2007,0.42
"Cuellar, Henry",D,TX-28,0.65,2007,0.45
"Green, Gene",D,TX-29,0.65,2007,0.67
"Johnson, Eddie Bernice",D,TX-30,0.8,2007,0.86
"Carter, John R.",R,TX-31,0.0,2007,0.04
"Sessions, Pete",R,TX-32,0.0,2007,0.02
"Hatch, Orrin G.",R,UT,0.13,2007,0.09
"Bennett, Bob",R,UT,0.07,2007,0.06
"Bishop, Rob",R,UT-01,0.0,2007,0.02
"Matheson, Jim",D,UT-02,0.55,2007,0.45
"Cannon, Christopher B.",R,UT-03,0.1,2007,0.05
"Leahy, Patrick J.",D,VT,0.8,2007,0.94
"Sanders, Bernie",I,VT,0.93,2007,0.91
"Welch, Peter F.",D,VT-AL,0.95,2007,0.94
"Webb, Jim",D,VA,0.87,2007,0.81
"Warner, John W.",R,VA,0.47,2007,0.22
"Davis, Jo Ann S.",R,VA-01,0.0,2007,0.12
"Drake, Thelma D.",R,VA-02,0.1,2007,0.1
"Scott, Robert C.",D,VA-03,0.9,2007,0.91
"Forbes, J. Randy",R,VA-04,0.05,2007,0.04
"Goode, Virgil H.",R,VA-05,0.0,2007,0.11
"Goodlatte, Bob",R,VA-06,0.0,2007,0.06
"Cantor, Eric",R,VA-07,0.05,2007,0.04
"Moran, James P.",D,VA-08,0.95,2007,0.88
"Boucher, Rick",D,VA-09,0.75,2007,0.68
"Wolf, Frank",R,VA-10,0.6,2007,0.26
"Davis, Thomas M.",R,VA-11,0.4,2007,0.4
"Murray, Patty",D,WA,0.87,2007,0.91
"Cantwell, Maria",D,WA,0.87,2007,0.93
"Inslee, Jay",D,WA-01,0.95,2007,0.92
"Larsen, Rick",D,WA-02,0.8,2007,0.91
"Baird, Brian N.",D,WA-03,0.95,2007,0.92
"Hastings, Doc",R,WA-04,0.05,2007,0.03
"McMorris Rodgers, Cathy",R,WA-05,0.05,2007,0.04
"Dicks, Norm",D,WA-06,0.95,2007,0.71
"McDermott, Jim",D,WA-07,0.95,2007,0.92
"Reichert, Dave",R,WA-08,0.85,2007,0.35
"Smith, Adam",D,WA-09,0.9,2007,0.91
"Byrd, Robert C.",D,WV,0.73,2007,0.54
"Rockefeller, John D.",D,WV,0.73,2007,0.82
"Mollohan, Alan B.",D,WV-01,0.55,2007,0.47
"Capito, Shelley Moore",R,WV-02,0.2,2007,0.17
"Rahall, Nick",D,WV-03,0.75,2007,0.62
"Kohl, Herb H.",D,WI,0.93,2007,0.84
"Feingold, Russell D.",D,WI,0.93,2007,0.95
"Ryan, Paul",R,WI-01,0.25,2007,0.11
"Baldwin, Tammy",D,WI-02,1.0,2007,0.97
"Kind, Ron",D,WI-03,0.95,2007,0.9
"Moore, Gwen",D,WI-04,0.95,2007,0.94
"Sensenbrenner, James F.",R,WI-05,0.2,2007,0.24
"Petri, Tom",R,WI-06,0.5,2007,0.4
"Obey, David Ross",D,WI-07,0.9,2007,0.85
"Kagen, Steve",D,WI-08,0.9,2007,0.89
"Enzi, Michael B.",R,WY,0.13,2007,0.05
"Thomas, Craig",R,WY,0.0,2007,0.04
"Barrasso, John",R,WY,0.33,2007,0.08
"Cubin, Barbara L.",R,WY-AL,0.0,2007,0.02
"Shelby, Richard C.",R,AL,0.0,2006,0.13
"Sessions, Jeff",R,AL,0.0,2006,0.06
"Bonner, Jo",R,AL-01,0.25,2006,0.08
"Everett, Terry",R,AL-02,0.08,2006,0.06
"Rogers, Mike D.",R,AL-03,0.17,2006,0.05
"Aderholt, Robert B.",R,AL-04,0.0,2006,0.03
"Cramer, Robert E.",D,AL-05,0.33,2006,0.41
"Bachus, Spencer",R,AL-06,0.08,2006,0.08
"Davis, Artur",D,AL-07,0.5,2006,0.69
"Murkowski, Lisa A.",R,AK,0.14,2006,0.18
"Stevens, Ted F.",R,AK,0.14,2006,0.14
"Young, Don",R,AK-AL,0.0,2006,0.08
"Kyl, Jon",R,AZ,0.29,2006,0.08
"McCain, John",R,AZ,0.29,2006,0.2
"Renzi, Rick",R,AZ-01,0.08,2006,0.12
"Franks, Trent",R,AZ-02,0.0,2006,0.04
"Shadegg, John B.",R,AZ-03,0.0,2006,0.05
"Pastor, Ed",D,AZ-04,0.92,2006,0.83
"Hayworth, John D.",R,AZ-05,0.0,2006,0.07
"Flake, Jeff",R,AZ-06,0.08,2006,0.08
"Grijalva, Raul",D,AZ-07,1.0,2006,0.96
"Kolbe, James T.",R,AZ-08,0.0,2006,0.17
"Lincoln, Blanche Lambert",D,AR,0.43,2006,0.49
"Pryor, Mark",D,AR,0.43,2006,0.63
"Berry, Robert Marion",D,AR-01,0.25,2006,0.45
"Snyder, Victor F.",D,AR-02,0.92,2006,0.85
"Boozman, John N.",R,AR-03,0.08,2006,0.07
"Ross, Mike",D,AR-04,0.25,2006,0.42
"Feinstein, Dianne",D,CA,1.0,2006,0.9
"Boxer, Barbara",D,CA,1.0,2006,0.91
"Thompson, Mike",D,CA-01,0.92,2006,0.93
"Herger, Wally",R,CA-02,0.0,2006,0.03
"Lungren, Dan",R,CA-03,0.08,2006,0.15
"Doolittle, John T.",R,CA-04,0.0,2006,0.04
"Matsui, Doris O.",D,CA-05,1.0,2006,0.96
"Woolsey, Lynn C.",D,CA-06,1.0,2006,0.97
"Miller, George",D,CA-07,1.0,2006,0.88
"Pelosi, Nancy",D,CA-08,1.0,2006,0.94
"Lee, Barbara J.",D,CA-09,1.0,2006,0.97
"Tauscher, Ellen O.",D,CA-10,1.0,2006,0.94
"Pombo, Richard W.",R,CA-11,0.17,2006,0.07
"Lantos, Tom",D,CA-12,0.92,2006,0.86
"Stark, Pete",D,CA-13,1.0,2006,0.89
"Eshoo, Anna G.",D,CA-14,1.0,2006,0.97
"Honda, Mike",D,CA-15,1.0,2006,0.98
"Lofgren, Zoe",D,CA-16,0.92,2006,0.92
"Farr, Sam",D,CA-17,1.0,2006,0.95
"Cardoza, Dennis A.",D,CA-18,0.58,2006,0.62
"Radanovich, George P.",R,CA-19,0.0,2006,0.06
"Costa, Jim",D,CA-20,0.42,2006,0.51
"Nunes, Devin G.",R,CA-21,0.0,2006,0.03
"Thomas, William M.",R,CA-22,0.0,2006,0.12
"Capps, Lois",D,CA-23,1.0,2006,0.96
"Gallegly, Elton W.",R,CA-24,0.08,2006,0.11
"McKeon, Buck P.",R,CA-25,0.08,2006,0.07
"Dreier, David T.",R,CA-26,0.17,2006,0.14
"Sherman, Brad J.",D,CA-27,1.0,2006,0.97
"Berman, Howard L.",D,CA-28,1.0,2006,0.88
"Schiff, Adam B.",D,CA-29,1.0,2006,0.98
"Waxman, Henry A.",D,CA-30,1.0,2006,0.92
"Becerra, Xavier",D,CA-31,1.0,2006,0.91
"Solis, Hilda L.",D,CA-32,1.0,2006,0.97
"Watson, Diane E.",D,CA-33,1.0,2006,0.92
"Roybal-Allard, Lucille",D,CA-34,1.0,2006,0.95
"Waters, Maxine",D,CA-35,1.0,2006,0.91
"Harman, Jane",D,CA-36,1.0,2006,0.8
"Millender-McDonald, Juanita",D,CA-37,0.92,2006,0.85
"Napolitano, Grace",D,CA-38,1.0,2006,0.9
"Sanchez, Linda",D,CA-39,1.0,2006,0.94
"Royce, Ed",R,CA-40,0.17,2006,0.11
"Lewis, Jerry",R,CA-41,0.0,2006,0.12
"Miller, Gary G.",R,CA-42,0.0,2006,0.03
"Baca, Joe",D,CA-43,0.75,2006,0.72
"Calvert, Ken S.",R,CA-44,0.08,2006,0.07
"Bono Mack, Mary",R,CA-45,0.25,2006,0.16
"Rohrabacher, Dana T.",R,CA-46,0.17,2006,0.1
"Sanchez, Loretta L.",D,CA-47,1.0,2006,0.86
"Campbell, John",R,CA-48,0.25,2006,0.07
"Issa, Darrell",R,CA-49,0.0,2006,0.04
"Bilbray, Brian P.",R,CA-50,0.0,2006,0.39
"Filner, Bob",D,CA-51,0.92,2006,0.86
"Hunter, Duncan L.",R,CA-52,0.0,2006,0.09
"Davis, Susan A.",D,CA-53,0.92,2006,0.97
"Allard, Wayne A.",R,CO,0.29,2006,0.09
"Salazar, Ken",D,CO,0.71,2006,0.81
"DeGette, Diana L.",D,CO-01,1.0,2006,0.96
"Udall, Mark E.",D,CO-02,1.0,2006,0.96
"Salazar, John Tony",D,CO-03,0.58,2006,0.71
"Musgrave, Marilyn N.",R,CO-04,0.08,2006,0.05
"Hefley, Joel",R,CO-05,0.0,2006,0.14
"Tancredo, Thomas G.",R,CO-06,0.08,2006,0.1
"Beauprez, Bob",R,CO-07,0.08,2006,0.05
"Dodd, Christopher J.",D,CT,1.0,2006,0.78
"Lieberman, Joe",I,CT,0.71,2006,0.88
"Larson, John B.",D,CT-01,0.33,2006,0.93
"Simmons, Robert Ruhl",R,CT-02,0.83,2006,0.67
"DeLauro, Rosa L.",D,CT-03,1.0,2006,0.95
"Shays, Christopher H.",R,CT-04,0.92,2006,0.9
"Johnson, Nancy",R,CT-05,0.83,2006,0.61
"Biden, Joe",D,DE,1.0,2006,0.83
"Carper, Tom",D,DE,0.71,2006,0.84
"Castle, Mike",R,DE-AL,0.83,2006,0.65
"Nelson, Bill",D,FL,0.57,2006,0.71
"Martinez, Mel",R,FL,0.0,2006,0.14
"Miller, Jeff",R,FL-01,0.08,2006,0.06
"Boyd, Allen",D,FL-02,0.33,2006,0.56
"Brown, Corrine",D,FL-03,0.92,2006,0.87
"Crenshaw, Ander",R,FL-04,0.08,2006,0.07
"Brown-Waite, Virginia",R,FL-05,0.17,2006,0.17
"Stearns, Cliff",R,FL-06,0.08,2006,0.16
"Mica, John L.",R,FL-07,0.0,2006,0.06
"Keller, Ric",R,FL-08,0.17,2006,0.13
"Bilirakis, Michael",R,FL-09,0.25,2006,0.28
"Young, C.W. Bill",R,FL-10,0.5,2006,0.28
"Davis, James",D,FL-11,1.0,2006,0.85
"Putnam, Adam H.",R,FL-12,0.08,2006,0.09
"Harris, Katherine",R,FL-13,0.25,2006,0.15
"Mack, Connie",R,FL-14,0.17,2006,0.08
"Weldon, David J.",R,FL-15,0.0,2006,0.1
"Foley, Mark",R,FL-16,0.58,2006,0.32
"Meek, Kendrick",D,FL-17,0.92,2006,0.9
"Ros-Lehtinen, Ileana",R,FL-18,0.33,2006,0.34
"Wexler, Robert",D,FL-19,1.0,2006,0.94
"Wasserman Schultz, Debbie",D,FL-20,1.0,2006,0.93
"Diaz-Balart, Lincoln",R,FL-21,0.17,2006,0.28
"Shaw, Clay",R,FL-22,0.5,2006,0.29
"Hastings, Alcee L.",D,FL-23,0.92,2006,0.84
"Feeney, Tom C.",R,FL-24,0.08,2006,0.07
"Diaz-Balart, Mario",R,FL-25,0.17,2006,0.13
"Isakson, Johnny H.",R,GA,0.0,2006,0.1
"Chambliss, Saxby",R,GA,0.0,2006,0.06
"Kingston, Jack",R,GA-01,0.17,2006,0.09
"Bishop, Sanford D.",D,GA-02,0.25,2006,0.53
"Marshall, James",D,GA-03,0.42,2006,0.57
"McKinney, Cynthia",D,GA-04,1.0,2006,0.93
"Lewis, John R.",D,GA-05,1.0,2006,0.92
"Price, Tom",R,GA-06,0.08,2006,0.04
"Linder, John",R,GA-07,0.0,2006,0.08
"Westmoreland, Lynn A.",R,GA-08,0.0,2006,0.03
"Norwood, Charles W.",R,GA-09,0.0,2006,0.07
"Deal, Nathan",R,GA-10,0.0,2006,0.15
"Gingrey, Phil",R,GA-11,0.0,2006,0.05
"Barrow, John",D,GA-12,0.5,2006,0.45
"Scott, David",D,GA-13,0.75,2006,0.83
"Inouye, Daniel K.",D,HI,0.71,2006,0.57
"Akaka, Daniel",D,HI,1.0,2006,0.71
"Abercrombie, Neil",D,HI-01,0.75,2006,0.83
"Case, Ed",D,HI-02,1.0,2006,0.94
"Craig, Larry E.",R,ID,0.0,2006,0.08
"Crapo, Michael D.",R,ID,0.0,2006,0.06
"Otter, C.L.",R,ID-01,0.08,2006,0.06
"Simpson, Mike",R,ID-02,0.0,2006,0.09
"Durbin, Dick",D,IL,1.0,2006,0.88
"Obama, Barack",D,IL,1.0,2006,0.72
"Rush, Bobby L.",D,IL-01,0.58,2006,0.8
"Jackson, Jr., Jesse",D,IL-02,0.92,2006,0.9
"Lipinski, Dan",D,IL-03,0.92,2006,0.91
"Gutierrez, Luis V.",D,IL-04,1.0,2006,0.91
"Emanuel, Rahm",D,IL-05,0.92,2006,0.9
"Hyde, Henry",R,IL-06,0.08,2006,0.19
"Davis, Danny K.",D,IL-07,0.83,2006,0.93
"Bean, Melissa L.",D,IL-08,0.83,2006,0.85
"Schakowsky, Jan",D,IL-09,1.0,2006,0.98
"Kirk, Mark",R,IL-10,0.75,2006,0.55
"Weller, Gerald C.",R,IL-11,0.25,2006,0.18
"Costello, Jerry F.",D,IL-12,0.75,2006,0.63
"Biggert, Judy",R,IL-13,0.33,2006,0.28
"Hastert, Dennis",R,IL-14,,2006,0.11
"Johnson, Timothy V.",R,IL-15,0.83,2006,0.59
"Manzullo, Donald A.",R,IL-16,0.0,2006,0.09
"Evans, Lane A.",D,IL-17,0.08,2006,0.9
"LaHood, Ray H.",R,IL-18,0.25,2006,0.27
"Shimkus, John M.",R,IL-19,0.0,2006,0.06
"Bayh, Evan",D,IN,1.0,2006,0.74
"Lugar, Richard G.",R,IN,0.14,2006,0.24
"Visclosky, Peter J.",D,IN-01,0.92,2006,0.83
"Chocola, Chris",R,IN-02,0.0,2006,0.05
"Souder, Mark Edward",R,IN-03,0.0,2006,0.1
"Buyer, Stephen E.",R,IN-04,0.0,2006,0.07
"Burton, Dan L.",R,IN-05,0.0,2006,0.07
"Pence, Mike",R,IN-06,0.0,2006,0.04
"Carson, Julia M.",D,IN-07,1.0,2006,0.85
"Hostettler, John Nathan",R,IN-08,0.0,2006,0.11
"Sodrel, Michael E.",R,IN-09,0.08,2006,0.03
"Grassley, Chuck E.",R,IA,0.14,2006,0.18
"Harkin, Tom",D,IA,0.71,2006,0.83
"Nussle, James Allen",R,IA-01,0.08,2006,0.12
"Leach, James A.",R,IA-02,0.42,2006,0.61
"Boswell, Leonard L.",D,IA-03,0.5,2006,0.61
"Latham, Tom",R,IA-04,0.0,2006,0.08
"King, Steve A.",R,IA-05,0.0,2006,0.04
"Brownback, Samuel D.",R,KS,0.29,2006,0.13
"Roberts, Pat",R,KS,0.0,2006,0.09
"Moran, Jerry",R,KS-01,0.08,2006,0.08
"Ryun, Jim R.",R,KS-02,0.0,2006,0.02
"Moore, Dennis",D,KS-03,0.92,2006,0.87
"Tiahrt, Todd",R,KS-04,0.0,2006,0.04
"McConnell, Mitch",R,KY,0.0,2006,0.07
"Bunning, Jim",R,KY,0.0,2006,0.07
"Whitfield, Ed",R,KY-01,0.25,2006,0.14
"Lewis, Ron",R,KY-02,0.17,2006,0.06
"Northup, Anne Meagher",R,KY-03,0.0,2006,0.07
"Davis, Geoff",R,KY-04,0.08,2006,0.06
"Rogers, Harold",R,KY-05,0.17,2006,0.08
"Chandler, Ben",D,KY-06,0.92,2006,0.79
"Landrieu, Mary L.",D,LA,0.43,2006,0.51
"Vitter, David B.",R,LA,0.0,2006,0.04
"Jindal, Bobby",R,LA-01,0.08,2006,0.06
"Jefferson, William J.",D,LA-02,0.5,2006,0.66
"Melancon, Charles J.",D,LA-03,0.08,2006,0.53
"McCrery, James O.",R,LA-04,0.0,2006,0.06
"Alexander, Rodney M.",R,LA-05,0.0,2006,0.09
"Baker, Richard Hugh",R,LA-06,0.0,2006,0.06
"Boustany, Charles",R,LA-07,0.0,2006,0.04
"Snowe, Olympia",R,ME,0.86,2006,0.65
"Collins, Susan M.",R,ME,0.71,2006,0.61
"Allen, Thomas H.",D,ME-01,1.0,2006,0.93
"Michaud, Michael H.",D,ME-02,0.75,2006,0.92
"Mikulski, Barbara A.",D,MD,1.0,2006,0.85
"Sarbanes, Paul S.",D,MD,1.0,2006,0.91
"Gilchrest, Wayne T.",R,MD-01,0.67,2006,0.64
"Ruppersberger, C.A. Dutch",D,MD-02,0.92,2006,0.88
"Cardin, Benjamin L.",D,MD-03,1.0,2006,0.92
"Wynn, Albert Russell",D,MD-04,0.92,2006,0.85
"Hoyer, Steny H.",D,MD-05,1.0,2006,0.82
"Bartlett, Roscoe G.",R,MD-06,0.58,2006,0.2
"Cummings, Elijah E.",D,MD-07,1.0,2006,0.92
"Van Hollen, Chris",D,MD-08,1.0,2006,0.98
"Kennedy, Edward M.",D,MA,1.0,2006,0.83
"Kerry, John",D,MA,0.71,2006,0.91
"Olver, John W.",D,MA-01,1.0,2006,0.96
"Neal, Richard E.",D,MA-02,1.0,2006,0.92
"McGovern, Jim",D,MA-03,1.0,2006,0.99
"Frank, Barney",D,MA-04,1.0,2006,0.92
"Meehan, Martin T.",D,MA-05,1.0,2006,0.94
"Tierney, John F.",D,MA-06,1.0,2006,0.97
"Markey, Ed",D,MA-07,1.0,2006,0.94
"Capuano, Michael E.",D,MA-08,1.0,2006,0.96
"Lynch, Stephen F.",D,MA-09,1.0,2006,0.95
"Delahunt, William D.",D,MA-10,0.92,2006,0.89
"Levin, Carl",D,MI,0.57,2006,0.81
"Stabenow, Debbie",D,MI,0.71,2006,0.89
"Stupak, Bart T.",D,MI-01,0.42,2006,0.69
"Hoekstra, Peter",R,MI-02,0.0,2006,0.14
"Ehlers, Vernon J.",R,MI-03,0.75,2006,0.59
"Camp, Dave",R,MI-04,0.08,2006,0.09
"Kildee, Dale E.",D,MI-05,1.0,2006,0.89
"Upton, Fred",R,MI-06,0.5,2006,0.27
"Schwarz, John J.H.",R,MI-07,0.58,2006,0.4
"Rogers, Mike J.",R,MI-08,0.08,2006,0.08
"Knollenberg, Joseph K.",R,MI-09,0.0,2006,0.09
"Miller, Candice S.",R,MI-10,0.17,2006,0.11
"McCotter, Thaddeus G.",R,MI-11,0.17,2006,0.13
"Levin, Sander M.",D,MI-12,1.0,2006,0.92
"Kilpatrick, Carolyn Cheeks",D,MI-13,1.0,2006,0.84
"Conyers, John",D,MI-14,1.0,2006,0.82
"Dingell, John D.",D,MI-15,1.0,2006,0.75
"Dayton, Mark",D,MN,0.86,2006,0.87
"Coleman, Norm",R,MN,0.29,2006,0.33
"Gutknecht, Gilbert W.",R,MN-01,0.0,2006,0.12
"Kline, John P.",R,MN-02,0.08,2006,0.04
"Ramstad, James M.",R,MN-03,0.83,2006,0.67
"McCollum, Betty",D,MN-04,1.0,2006,0.94
"Sabo, Martin Olav",D,MN-05,0.92,2006,0.83
"Kennedy, Mark R.",R,MN-06,0.33,2006,0.22
"Peterson, Collin C.",D,MN-07,0.17,2006,0.33
"Oberstar, James L.",D,MN-08,0.67,2006,0.74
"Lott, Trent",R,MS,0.0,2006,0.09
"Cochran, Thad",R,MS,0.14,2006,0.09
"Wicker, Roger F.",R,MS-01,0.0,2006,0.05
"Thompson, Bennie G.",D,MS-02,0.5,2006,0.82
"Pickering, Charles W.",R,MS-03,0.17,2006,0.05
"Taylor, Gene",D,MS-04,0.42,2006,0.44
"Talent, James M.",R,MO,0.14,2006,0.15
"Bond, Christopher S.",R,MO,0.14,2006,0.07
"Clay, William Lacy",D,MO-01,0.92,2006,0.9
"Akin, W. Todd",R,MO-02,0.08,2006,0.04
